mi_attempt_id	colony_name
17442	jr31396
16910	jr31399
17441	jr31401
16775	TCPR0924_ADQN
16029	H-IKZF2-DEL876-EM3-B6N
17026	H-BZRAP1-DEL28-EM2-B6N
16783	TCPR0866_ADPP
17185	TCPR0862_ADQC
16537	H-Kcnj11-E23K-EM2-B6N
17066	COTAB
17431	jr31407
17295	TCPR0984_ADRF
17435	jr31418
16982	CR1638
17471	jr31480
17468	jr31481
17465	jr31483
17293	TCPR1002_ADRR
17550	jr31503
17549	jr31504
17500	jr31505
17463	jr31511
17591	jr31523
17596	jr31525
17230	H-CHRNA5-DEL999-EM1-B6N
16639	H-SHANK3-DEL324-EM2-B6N
17445	jr31420
17509	jr31501
17547	jr31500
17506	jr31502
17462	jr31509
17496	jr31521
17588	jr31522
17232	H-SENP5-DEL1106-EM1-B6N
17227	H-VPS35-DEL611INS4-EM1-B6N
16533	H-GCKR-DEL1250-EM2-B6N
17309	jr31412
17439	jr31411
17294	TCPR1001_ADRG
17306	jr31432
17437	jr31451
16883	CR1611
18048	jr31415
17472	jr31479
17464	jr31482
17467	jr31488
17665	jr30192
17666	jr31164
17664	jr30181
17594	jr31524
17162	H-UNC13C-DEL209-EM1-B6N
17162	H-UNC13C-DEL208-EM2-B6N
17485	TCPR1018_ADTG
15960	UCRBC
16192	ORIAC
15637	SMCAC
18263	CR1614
17523	SDTBB
17991	URCAB
17992	CSFAB
17997	DERBB
18000	MDBBB
17995	MTTBB
17406	PRTAB
17330	TCPR0991_ADTO
18345	TCPR1031_ADTP
17492	TCPR1027_ADTQ
18347	TCPR1060_ADTS
17643	TCPR1050_ADTV
18024	jr31883
17659	jr31886
17903	CR10122
17969	CR10136
18441	jr30642
18116	SYGAB
18086	jr31989
18082	jr31995
18073	jr31996
18173	TCPR1078_ADVD
14080	ILTNB
18019	jr32020
18109	jr32024
18163	TCPR1073_ADVC
18122	CCZEB
17994	PFTAB
18158	TCPR1079_ADVM
18159	TCPR1080_ADVN
18161	TCPR1074_ADVK
18172	TCPR1076_ADVL
18084	jr32039
18138	jr32040
18030	jr32041
17600	CR10093
18064	CR10163
18067	CR10166
18068	CR10167
18101	CR10172
18090	CR10169
18102	CR10173
17202	H-ARHGAP42-DEL761-EM1-B6N
17202	H-ARHGAP42-DEL742-EM2-B6N
17646	TCPR1035_ADTH
15412	ABTAC
17935	CR10031
17677	CR10114
18079	jr31993
18278	BLA3391
17391	PCGAB
17993	PXGAB
17512	jr31848
18015	jr31850
17860	jr31851
18170	jr31885
18016	jr31913
17955	CR10124
17962	CR10129
17973	CR10141
18007	CLBCB
18037	jr31931
18440	jr31954
18088	jr31987
17495	TCPR0971_ADUR
18074	jr31990
18051	jr31994
18160	TCPR1072_ADVB
18027	jr32019
18105	jr32021
18136	jr32023
18049	jr32022
17583	CR10089
18062	CR10161
18065	CR10164
18258	CR10179
18151	CR10185
18152	CR10186
18164	CR10187
17503	CR10057
18338	jr32044
18207	AFGAB
18203	TBZEB
18201	MPZEB
17279	H-CCKBR-DEL493-EM1-B6N
17558	CR10070
17403	ATAAB
17528	BPTAB
17604	RFFAB
17390	TRFAB
17617	CR10102
17615	CR10098
17965	CR10132
17966	CR10133
17695	NFNAB
17698	UPTAB
17996	MDOBB
17998	OLABB
17273	RRPAB
17493	TCPR1038_ADTR
18013	jr31849
18350	TCPR1063_ADTT
18021	jr31882
17858	jr31910
17548	jr31911
17411	CR1675
17416	CR1698
17895	CR1744
17963	CR10130
17972	CR10140
18004	ASCAB
18002	TPFAB
18112	NMCBB
17128	TCPR0947_ADUP
17296	TCPR0985_ADRS
18081	jr31930
18014	jr31933
18115	AMBAB
18113	ATDBB
18162	TCPR1071_ADUT
18089	jr31986
18080	jr31992
18111	CLSBB
17699	RFOAB
17696	SRMAB
18006	FEZBB
18165	CR10188
18214	UGZEB
16379	WBPDB
18339	jr32120
18106	jr32121
18087	jr32123
18052	jr32124
18246	jr32171
16867	CR1596
16567	CR1494
17165	H- CLDN3-DEL2-EM2-B6N
17346	H-USP31-DEL763-EM1-B6N
16535	H-Kcnj11-E23K-EM1-B6N
17332	TCPR0993_ADRT
17187	TCPR0922_ADRU
15959	MTGAC
17936	CR10032
17271	FXNAB
17525	GXOAB
17266	IFOAB
17694	PROAB
17399	ZFEBB
17909	CR10115
18124	HTZEB
18209	PHTAB
18197	jr32122
18304	jr32170
18266	jr32197
17334	TCPR0995_ADRW
17333	TCPR1025_ADRX
17335	TCPR1026_ADRY
18144	jr31573
17396	CPTAB
17526	GYTAB
17601	LIPAB
17401	OTUAB
17605	PSDAB
17397	TCHAB
17521	WDRDB
17614	CR10097
18118	ICZEB
